6-monthly,Cause of injury,State or territory,Calendar year,Breakdown value,Hospitalisations,Bed days,Breakdown type,Data level
Jan-Jun,Traffic,NSW,2014,75+,371,3252,Age group,State/Territory
Jan-Jun,Traffic,NSW,2014,8-16,323,1007,Age group,State/Territory
Jan-Jun,Traffic,VIC,2014,0-7,64,182,Age group,State/Territory
Jan-Jun,Traffic,VIC,2014,17-25,913,2970,Age group,State/Territory
Jan-Jun,Traffic,VIC,2014,26-39,1016,2844,Age group,State/Territory
Jan-Jun,Traffic,VIC,2014,40-64,1476,5323,Age group,State/Territory
Jan-Jun,Traffic,VIC,2014,65-74,303,1740,Age group,State/Territory
Jan-Jun,Traffic,VIC,2014,75+,260,1780,Age group,State/Territory
Jan-Jun,Traffic,VIC,2014,8-16,205,439,Age group,State/Territory
Jan-Jun,Traffic,QLD,2014,0-7,114,217,Age group,State/Territory
Jan-Jun,Traffic,QLD,2014,17-25,823,2422,Age group,State/Territory
Jan-Jun,Traffic,QLD,2014,26-39,925,3263,Age group,State/Territory
Jan-Jun,Traffic,QLD,2014,40-64,1231,5244,Age group,State/Territory
Jan-Jun,Traffic,QLD,2014,65-74,199,974,Age group,State/Territory
Jan-Jun,Traffic,QLD,2014,75+,166,1006,Age group,State/Territory
Jan-Jun,Traffic,QLD,2014,8-16,285,891,Age group,State/Territory
Jan-Jun,Traffic,WA,2014,0-7,41,108,Age group,State/Territory
Jan-Jun,Traffic,WA,2014,17-25,354,1608,Age group,State/Territory
Jan-Jun,Traffic,WA,2014,26-39,417,1976,Age group,State/Territory
Jan-Jun,Traffic,WA,2014,40-64,497,2655,Age group,State/Territory
Jan-Jun,Traffic,WA,2014,65-74,90,491,Age group,State/Territory
Jan-Jun,Traffic,WA,2014,75+,75,798,Age group,State/Territory
Jan-Jun,Traffic,WA,2014,8-16,135,409,Age group,State/Territory
Jan-Jun,Traffic,SA,2014,0-7,20,31,Age group,State/Territory
Jan-Jun,Traffic,SA,2014,17-25,279,807,Age group,State/Territory
Jan-Jun,Traffic,SA,2014,26-39,284,1055,Age group,State/Territory
Jan-Jun,Traffic,SA,2014,40-64,417,2096,Age group,State/Territory
Jan-Jun,Traffic,SA,2014,65-74,72,556,Age group,State/Territory
Jan-Jun,Traffic,SA,2014,75+,88,644,Age group,State/Territory
Jan-Jun,Traffic,SA,2014,8-16,65,191,Age group,State/Territory
Jan-Jun,Traffic,TAS,2014,17-25,62,204,Age group,State/Territory
Jan-Jun,Traffic,TAS,2014,26-39,84,355,Age group,State/Territory
Jan-Jun,Traffic,TAS,2014,40-64,108,589,Age group,State/Territory
Jan-Jun,Traffic,TAS,2014,75+,35,258,Age group,State/Territory
Jan-Jun,Traffic,TAS,2014,8-16,22,56,Age group,State/Territory
Jan-Jun,Traffic,ACT,2014,0-7,6,25,Age group,State/Territory
Jan-Jun,Traffic,ACT,2014,17-25,70,198,Age group,State/Territory
Jan-Jun,Traffic,ACT,2014,26-39,71,186,Age group,State/Territory
Jan-Jun,Traffic,ACT,2014,40-64,85,320,Age group,State/Territory
Jan-Jun,Traffic,ACT,2014,65-74,16,98,Age group,State/Territory
Jan-Jun,Traffic,ACT,2014,75+,13,163,Age group,State/Territory
Jan-Jun,Traffic,ACT,2014,8-16,17,30,Age group,State/Territory
Jan-Jun,Traffic,NT,2014,17-25,74,457,Age group,State/Territory
Jan-Jun,Traffic,NT,2014,26-39,92,481,Age group,State/Territory
Jan-Jun,Traffic,NT,2014,40-64,78,356,Age group,State/Territory
Jan-Jun,Traffic,NT,2014,75+,7,90,Age group,State/Territory
